Timestamp	Main task	Tasks	Batch size	# Epochs	Learning Rate	Model	Input dim	Embedding dim	Hidden dim	Output dim	Dropout	nonlinearity	accuracy	precision	recall	f1-score	loss
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6240610465116279	0.4974107331299192	0.6396110352825469	0.5158114999023261	1890943.5089170858
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.630625	0.5040938439086167	0.643971390541277	0.5224398418109107	1915081.7242224142
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6378666666666667	0.5109541052774387	0.6481646188996188	0.5290883333577844	1929853.3285009786
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.640883152173913	0.5145589161744053	0.6467753682911291	0.5307853966846522	1941501.1894905493
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6455904255319149	0.5167109811288002	0.6474828233822915	0.5331275624748388	2043319.6505043432
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.65175	0.5206509280649906	0.648565770514208	0.5365186149949699	2131281.2602150366
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6522474489795919	0.522730982198074	0.6491685098914691	0.5364244539962615	2227183.7890236303
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.653145	0.5250183175990676	0.6497096451881452	0.5367536359183762	2249401.0710899755
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6580147058823529	0.5283914541341012	0.6504408286158286	0.5396211407488555	2321749.592505686
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.66409375	0.5340936261655012	0.6539650434501396	0.5451758902195408	2345215.685675852
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6686839622641509	0.5354942024694382	0.6538606143856144	0.5467032851541532	2349478.258368723
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6727615740740741	0.5367647878870101	0.6539310968352635	0.5481995805475991	2350906.5170738623
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6755840909090909	0.5374758341658342	0.6540376113280659	0.5493525359845036	2360927.5625984594
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6747321428571429	0.5361368717591932	0.6537553462906142	0.5480398632408439	2646667.6082527563
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6742631578947369	0.5351149433899434	0.6537274747182643	0.5470588596705692	2711981.6102058813
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6749375	0.5351058887233456	0.6540965412461103	0.5472683999826311	2941680.933997385
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6741292372881356	0.5343537385636962	0.6516598767052156	0.5464639786580129	2973496.9389097616
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6751125	0.5371564631895882	0.6546894848207349	0.5493968151869808	3032140.851568453
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6704569672131148	0.5343544434163287	0.6549027719548212	0.5466628170814641	3058497.4063780233
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6710907258064516	0.5343119569722392	0.6552175121921091	0.5470515793425442	3130493.1431333944
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6710138888888889	0.5338249740779503	0.6554468638504353	0.5468654361542888	3136637.189520113
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.669681640625	0.5323030148020382	0.6523530760472167	0.5452891463346989	3153419.5123732015
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6700884615384616	0.5318713378715302	0.652347364387749	0.5451170058022008	3230495.2532026693
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6698219696969697	0.5311816694248513	0.6524064952303589	0.5445426299842178	3267333.1697676107
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6653358208955223	0.5283440587190588	0.6524377415702042	0.5417705371014042	3290578.1766493246
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6611930147058823	0.5255439622673079	0.6523558139980934	0.5392805929083512	3295092.8521559164
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6615054347826087	0.5272892015995277	0.6544457891947022	0.5411294550034171	4197411.7861769125
2020/07/30:21:50:52	Waseem	Waseem_Wulczyn_Davidson	16	100	0.1	onehot-mtl-mlp	16249, 153996, 19477	100, 100, 100	-	2, 2, 2	0.1	-	0.6616071428571428	0.5268593566354282	0.6545090352901067	0.5410503947836515	5476518.994673006
